YEAR,Car_Age,MILEAGE,CAR_PRICE
2021,2,38678,19998
2018,5,112960,20000
2021,2,18728,23495
2017,6,108364,11995
2021,2,39916,35995
2021,2,48306,52965
2019,4,50273,24700
2018,5,32952,27999
2017,6,40833,27739
2016,7,103468,16565
2022,0,61958,21530
2017,6,61851,19161
